Method,indicator code,Average degree,Network diameter,Average path length,country
HVG,NY.GDP.MKTP.KD.ZG,3.4838709677419355,8.0,3.5376344086021505,ARG
HVG,GC.XPN.INTP.CN,2.5185185185185186,18.0,6.586894586894587,ARG
HVG,GC.XPN.TOTL.GD.ZS,2.814814814814815,15.0,5.56980056980057,ARG
HVG,NY.GDP.MKTP.CD,2.7096774193548385,18.0,6.122580645161291,ARG
HVG,NY.GDP.PCAP.CD,2.838709677419355,16.0,5.655913978494624,ARG
HVG,NY.GDP.PCAP.PP.CD,2.5161290322580645,21.0,7.320430107526882,ARG
HVG,NY.GNS.ICTR.ZS,3.3548387096774195,11.0,4.632258064516129,ARG
HVG,NY.GDP.DEFL.KD.ZG,3.6774193548387095,5.0,2.8301075268817204,ARG
HVG,GC.XPN.INTP.ZS,3.5483870967741935,14.0,5.989247311827957,ARG
HVG,SL.UEM.TOTL.ZS,3.3548387096774195,13.0,5.352688172043011,ARG
HVG,FP.CPI.TOTL.ZG,1.6,4.0,2.0,ARG
HVG,BX.KLT.DINV.CD.WD,3.161290322580645,11.0,4.234408602150538,ARG
HVG,FR.INR.LEND,3.4838709677419355,8.0,3.2580645161290325,ARG
HVG,FM.LBL.BMNY.GD.ZS,3.096774193548387,14.0,5.449462365591398,ARG
HVG,CM.MKT.LCAP.GD.ZS,3.225806451612903,11.0,4.969892473118279,ARG
HVG,FS.AST.PRVT.GD.ZS,3.225806451612903,11.0,4.840860215053763,ARG
HVG,CM.MKT.TRAD.GD.ZS,2.903225806451613,15.0,5.690322580645161,ARG
HVG,NE.EXP.GNFS.ZS,2.838709677419355,20.0,8.135483870967741,ARG
HVG,NE.IMP.GNFS.ZS,2.7096774193548385,18.0,6.941935483870968,ARG
HVG,SL.TLF.ACTI.ZS,3.161290322580645,15.0,5.124731182795699,ARG
HVG,EN.ATM.CO2E.PC,2.7096774193548385,19.0,6.69247311827957,ARG
HVG,EG.ELC.RNWX.ZS,2.774193548387097,18.0,7.083870967741936,ARG
HVG,AG.PRD.FOOD.XD,2.4516129032258065,22.0,7.83010752688172,ARG
HVG,AG.LND.FRST.ZS,1.935483870967742,30.0,10.666666666666666,ARG
HVG,FS.AST.PRVT.GD.ZS.1,3.225806451612903,11.0,4.840860215053763,ARG
HVG,TG.VAL.TOTL.GD.ZS,3.032258064516129,13.0,4.838709677419355,ARG
HVG,GC.XPN.TOTL.GD.ZS.1,2.814814814814815,15.0,5.56980056980057,ARG
HVG,MS.MIL.XPND.GD.ZS,3.161290322580645,12.0,4.948387096774193,ARG
HVG,GC.NFN.TOTL.GD.ZS,3.259259259259259,8.0,3.301994301994302,ARG
HVG,GC.NLD.TOTL.GD.ZS,3.096774193548387,8.0,3.7655913978494624,ARG
HVG,GC.REV.XGRT.GD.ZS,2.838709677419355,16.0,6.086021505376344,ARG
HVG,GC.TAX.TOTL.GD.ZS,2.5806451612903225,20.0,7.275268817204301,ARG
HVG,TG.VAL.TOTL.GD.ZS.1,3.032258064516129,13.0,4.838709677419355,ARG
HVG,NY.GDP.TOTL.RT.ZS,3.2903225806451615,11.0,4.812903225806451,ARG
HVG,SP.RUR.TOTL.ZS,1.935483870967742,30.0,10.666666666666666,ARG
HVG,SL.AGR.EMPL.MA.ZS,3.4838709677419355,9.0,3.8666666666666667,ARG
HVG,SP.POP.TOTL,1.935483870967742,30.0,10.666666666666666,ARG
HVG,SP.POP.GROW,2.774193548387097,17.0,5.2494623655913975,ARG
HVG,SP.URB.TOTL.IN.ZS,1.935483870967742,30.0,10.666666666666666,ARG
HVG,EN.URB.MCTY.TL.ZS,2.967741935483871,19.0,7.189247311827957,ARG
HVG,EG.ELC.ACCS.ZS,2.193548387096774,26.0,9.612903225806452,ARG
HVG,SP.POP.0014.TO.ZS,1.935483870967742,30.0,10.666666666666666,ARG
HVG,SP.POP.1564.TO.ZS,2.0,29.0,10.604301075268816,ARG
HVG,EN.URB.LCTY.UR.ZS,2.838709677419355,17.0,6.423655913978495,ARG
HVG,EN.POP.DNST,1.935483870967742,30.0,10.666666666666666,ARG
HVG,SP.URB.TOTL,1.935483870967742,30.0,10.666666666666666,ARG
HVG,EN.URB.MCTY.TL.ZS.1,2.967741935483871,19.0,7.189247311827957,ARG
HVG,BN.CAB.XOKA.CD,3.6129032258064515,10.0,4.141935483870967,ARG
HVG,BN.TRF.CURR.CD,3.5483870967741935,9.0,3.9827956989247313,ARG
HVG,BN.TRF.KOGT.CD,3.032258064516129,13.0,4.929032258064516,ARG
HVG,NE.EXP.GNFS.ZS.1,2.838709677419355,20.0,8.135483870967741,ARG
HVG,NY.EXP.CAPM.KN,2.5161290322580645,22.0,8.290322580645162,ARG
HVG,NE.EXP.GNFS.KD.ZG,3.6129032258064515,6.0,3.1591397849462366,ARG
HVG,NE.IMP.GNFS.ZS.1,2.7096774193548385,18.0,6.941935483870968,ARG
HVG,NE.IMP.GNFS.KD.ZG,3.3548387096774195,8.0,3.718279569892473,ARG
HVG,FI.RES.TOTL.CD,2.7096774193548385,18.0,6.840860215053763,ARG
HVG,NV.IND.TOTL.ZS,3.096774193548387,14.0,5.849462365591398,ARG
HVG,NV.MNF.TECH.ZS.UN,3.161290322580645,10.0,4.124731182795699,ARG
HVG,NV.AGR.TOTL.ZS,3.161290322580645,14.0,5.7612903225806456,ARG
HVG,BM.GSR.ROYL.CD,2.838709677419355,16.0,6.376344086021505,ARG
HVG,TX.VAL.FUEL.ZS.UN,2.7096774193548385,18.0,6.529032258064516,ARG
HVG,TX.VAL.MMTL.ZS.UN,3.2903225806451615,10.0,3.8559139784946237,ARG
HVG,NY.GDP.TOTL.RT.ZS.1,3.2903225806451615,11.0,4.812903225806451,ARG
HVG,BX.KLT.DINV.CD.WD.1,3.161290322580645,11.0,4.234408602150538,ARG
HVG,SL.TLF.CACT.MA.ZS,2.6451612903225805,19.0,7.122580645161291,ARG
HVG,SP.POP.DPND,1.935483870967742,30.0,10.666666666666666,ARG
HVG,SH.IMM.IDPT,2.6451612903225805,17.0,6.202150537634409,ARG
HVG,SH.IMM.MEAS,2.838709677419355,14.0,5.976344086021506,ARG
HVG,SP.POP.1564.TO.ZS.1,2.0,29.0,10.604301075268816,ARG
HVG,SP.POP.1564.TO.ZS.2,2.0,29.0,10.604301075268816,ARG
HVG,SL.TLF.TOTL.IN,2.0,29.0,10.20215053763441,ARG
HVG,SP.POP.1564.TO,1.935483870967742,30.0,10.666666666666666,ARG
HVG,NY.GDP.MKTP.KD.ZG,3.3548387096774195,9.0,3.827956989247312,AUS
HVG,GC.XPN.INTP.CN,3.032258064516129,14.0,5.597849462365591,AUS
HVG,GC.XPN.TOTL.GD.ZS,3.096774193548387,13.0,4.662365591397849,AUS
HVG,NY.GDP.MKTP.CD,2.7096774193548385,18.0,7.258064516129032,AUS
HVG,NY.GDP.PCAP.CD,2.774193548387097,17.0,6.929032258064516,AUS
HVG,NY.GDP.PCAP.PP.CD,2.064516129032258,28.0,9.96774193548387,AUS
HVG,NY.GNS.ICTR.ZS,3.7419354838709675,7.0,3.4516129032258065,AUS
HVG,NY.GDP.DEFL.KD.ZG,3.6129032258064515,7.0,3.423655913978495,AUS
HVG,GC.XPN.INTP.ZS,3.5483870967741935,10.0,4.243010752688172,AUS
HVG,SL.UEM.TOTL.ZS,3.3548387096774195,13.0,4.875268817204301,AUS
HVG,FP.CPI.TOTL.ZG,3.225806451612903,11.0,4.313978494623656,AUS
HVG,BX.KLT.DINV.CD.WD,3.225806451612903,11.0,4.449462365591398,AUS
HVG,FR.INR.LEND,3.096774193548387,13.0,5.034408602150537,AUS
HVG,FM.LBL.BMNY.GD.ZS,2.3225806451612905,24.0,9.081720430107527,AUS
HVG,CM.MKT.LCAP.GD.ZS,3.096774193548387,14.0,5.658064516129032,AUS
HVG,FS.AST.PRVT.GD.ZS,2.3870967741935485,24.0,9.30967741935484,AUS
HVG,CM.MKT.TRAD.GD.ZS,2.967741935483871,17.0,6.501075268817204,AUS
HVG,NE.EXP.GNFS.ZS,3.161290322580645,12.0,4.438709677419355,AUS
HVG,NE.IMP.GNFS.ZS,3.161290322580645,13.0,5.096774193548387,AUS
HVG,SL.TLF.ACTI.ZS,2.838709677419355,17.0,6.582795698924731,AUS
HVG,EN.ATM.CO2E.PC,2.5161290322580645,23.0,8.44516129032258,AUS
HVG,EG.ELC.RNWX.ZS,2.5806451612903225,20.0,8.604301075268816,AUS
HVG,AG.PRD.FOOD.XD,2.7096774193548385,18.0,6.32258064516129,AUS
HVG,AG.LND.FRST.ZS,3.5483870967741935,10.0,3.9075268817204303,AUS
HVG,FS.AST.PRVT.GD.ZS.1,2.3870967741935485,24.0,9.30967741935484,AUS
HVG,TG.VAL.TOTL.GD.ZS,2.967741935483871,15.0,5.967741935483871,AUS
HVG,GC.XPN.TOTL.GD.ZS.1,3.096774193548387,13.0,4.662365591397849,AUS
HVG,MS.MIL.XPND.GD.ZS,3.4838709677419355,9.0,3.5505376344086024,AUS
HVG,GC.NFN.TOTL.GD.ZS,3.161290322580645,12.0,4.894623655913978,AUS
HVG,GC.NLD.TOTL.GD.ZS,3.5483870967741935,8.0,3.6774193548387095,AUS
HVG,GC.REV.XGRT.GD.ZS,3.3548387096774195,11.0,4.709677419354839,AUS
HVG,GC.TAX.TOTL.GD.ZS,3.3548387096774195,12.0,4.969892473118279,AUS
HVG,TG.VAL.TOTL.GD.ZS.1,2.967741935483871,15.0,5.967741935483871,AUS
HVG,NY.GDP.TOTL.RT.ZS,3.4838709677419355,12.0,4.982795698924731,AUS
HVG,SP.RUR.TOTL.ZS,1.935483870967742,30.0,10.666666666666666,AUS
HVG,SL.AGR.EMPL.MA.ZS,2.838709677419355,16.0,7.060215053763441,AUS
HVG,SP.POP.TOTL,1.935483870967742,30.0,10.666666666666666,AUS
HVG,SP.POP.GROW,3.3548387096774195,11.0,4.408602150537634,AUS
HVG,SP.URB.TOTL.IN.ZS,3.3548387096774195,18.0,6.174193548387096,AUS
HVG,EN.URB.MCTY.TL.ZS,3.5483870967741935,9.0,4.032258064516129,AUS
HVG,EG.ELC.ACCS.ZS,1.935483870967742,30.0,10.666666666666666,AUS
HVG,SP.POP.0014.TO.ZS,2.7096774193548385,23.0,8.320430107526882,AUS
HVG,SP.POP.1564.TO.ZS,2.5161290322580645,24.0,8.993548387096775,AUS
HVG,EN.URB.LCTY.UR.ZS,2.967741935483871,18.0,7.167741935483871,AUS
