Method,indicator code,Average degree,Network diameter,Average path length,country
NVG,NY.GDP.MKTP.KD.ZG,4.32258064516129,6.0,2.772043010752688,ARG
NVG,GC.XPN.INTP.CN,12.88888888888889,2.0,1.5042735042735043,ARG
NVG,GC.XPN.TOTL.GD.ZS,4.666666666666667,6.0,2.908831908831909,ARG
NVG,NY.GDP.MKTP.CD,6.193548387096774,5.0,2.2688172043010755,ARG
NVG,NY.GDP.PCAP.CD,5.483870967741935,6.0,2.6451612903225805,ARG
NVG,NY.GDP.PCAP.PP.CD,5.741935483870968,6.0,2.5913978494623655,ARG
NVG,NY.GNS.ICTR.ZS,5.354838709677419,6.0,3.1247311827956987,ARG
NVG,NY.GDP.DEFL.KD.ZG,8.516129032258064,2.0,1.7161290322580645,ARG
NVG,GC.XPN.INTP.ZS,6.888888888888889,5.0,2.336182336182336,ARG
NVG,SL.UEM.TOTL.ZS,11.225806451612904,3.0,1.8795698924731183,ARG
NVG,FP.CPI.TOTL.ZG,1.6,4.0,2.0,ARG
NVG,BX.KLT.DINV.CD.WD,5.806451612903226,4.0,2.1462365591397847,ARG
NVG,FR.INR.LEND,8.375,3.0,1.4583333333333333,ARG
NVG,FM.LBL.BMNY.GD.ZS,5.67741935483871,5.0,2.7655913978494624,ARG
NVG,CM.MKT.LCAP.GD.ZS,5.032258064516129,6.0,2.6666666666666665,ARG
NVG,FS.AST.PRVT.GD.ZS,6.387096774193548,7.0,2.8860215053763443,ARG
NVG,CM.MKT.TRAD.GD.ZS,9.741935483870968,2.0,1.675268817204301,ARG
NVG,NE.EXP.GNFS.ZS,6.580645161290323,4.0,2.1483870967741936,ARG
NVG,NE.IMP.GNFS.ZS,4.32258064516129,9.0,3.724731182795699,ARG
NVG,SL.TLF.ACTI.ZS,5.096774193548387,7.0,2.9655913978494626,ARG
NVG,EN.ATM.CO2E.PC,4.580645161290323,8.0,3.606451612903226,ARG
NVG,EG.ELC.RNWX.ZS,5.354838709677419,6.0,2.69247311827957,ARG
NVG,AG.PRD.FOOD.XD,5.032258064516129,6.0,2.653763440860215,ARG
NVG,AG.LND.FRST.ZS,11.35483870967742,5.0,2.313978494623656,ARG
NVG,FS.AST.PRVT.GD.ZS.1,6.387096774193548,7.0,2.8860215053763443,ARG
NVG,TG.VAL.TOTL.GD.ZS,5.612903225806452,4.0,2.3741935483870966,ARG
NVG,GC.XPN.TOTL.GD.ZS.1,4.666666666666667,6.0,2.908831908831909,ARG
NVG,MS.MIL.XPND.GD.ZS,5.67741935483871,4.0,2.3483870967741933,ARG
NVG,GC.NFN.TOTL.GD.ZS,6.148148148148148,4.0,2.0655270655270654,ARG
NVG,GC.NLD.TOTL.GD.ZS,5.185185185185185,5.0,2.492877492877493,ARG
NVG,GC.REV.XGRT.GD.ZS,5.870967741935484,7.0,2.8989247311827957,ARG
NVG,GC.TAX.TOTL.GD.ZS,4.516129032258065,7.0,3.464516129032258,ARG
NVG,TG.VAL.TOTL.GD.ZS.1,5.612903225806452,4.0,2.3741935483870966,ARG
NVG,NY.GDP.TOTL.RT.ZS,6.32258064516129,4.0,2.4193548387096775,ARG
NVG,SP.RUR.TOTL.ZS,29.870967741935484,2.0,1.0043010752688173,ARG
NVG,SL.AGR.EMPL.MA.ZS,7.225806451612903,3.0,1.7956989247311828,ARG
NVG,SP.POP.TOTL,10.580645161290322,8.0,2.5161290322580645,ARG
NVG,SP.POP.GROW,11.483870967741936,8.0,2.9376344086021504,ARG
NVG,SP.URB.TOTL.IN.ZS,1.935483870967742,30.0,10.666666666666666,ARG
NVG,EN.URB.MCTY.TL.ZS,16.0,3.0,1.853763440860215,ARG
NVG,EG.ELC.ACCS.ZS,4.516129032258065,6.0,2.8086021505376344,ARG
